id,question,answer
55,Sam Mendes and Ruby Yang share what profession?,filmmaker.
56,The fourth episode The Simpsons' seventh season has what kind of theme?,spiritual
57,"La Machine a ecirire was written by what French writer, designer, playright, artist, and filmmaker, who is known for his novel, ""Les Enfants Terribles""?",Jean Maurice Eugène Clément Cocteau
58,Gleanntáin Ghlas' Ghaoth Dobhair is a song that can be heard in pubs licensed to serve what?,alcoholic drinks
59,"In what year was the composer of ""Anthem"" born?",1943
60,What profession do Raj Kapoor and Mike Cahill share?,director
61,"Wexner Graduate Fellowships are given to students who show an ability of an individual to ""lead"" or guide who?","other individuals, teams, or entire organizations"
62,What is the birthdate of this Norwegian professional footballer who plays as an attacking midfielder and who broke the record for the youngest player that has ever played in the Norwegian top league?,17 December 1998
63,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",drawings
64,Devil's Food is a singles compilation by an American rock and roll band that has also been known to play country shows under what?,various names
65,What musical was inspired by the films that included Ruth Leuwerik's best known role?,The Sound of Music
66,What 1944 Bollywood film was the mother of Bollywood actor Govinda in?,Geet or The Song
67,How many episodes were in the original run of the HBO show that Kristin Davis played the character Charlotte York Goldenblatt?,94
68,"Haier has North American rights to which appliance company headquartered in Louisville, Kentucky?",GE Appliances
69,"When was the track from which a sample was featured in ""Take Me to the Clouds Above"" released? ",16 March 1987
70,Who directed a 2006 film where Ron Perkins character plays the manager of a hotel?,Christopher Nolan
71,What movie did Chris Duesterdiek work on that was directed by Seth Rogen and Evan Goldberg?,The Interview
72,"The producer of ""Live By NIght"" began his film career playing what role in ""Critters 3""?",Josh
73,"What is the county seat of the county in which Keokuk Falls, Oklahoma is loated?",Shawnee
74,What former president of ABC television is a high ranking officer in the same company as Christine Mccarthy?,Robert A. Iger
75,Where was the second World Junior Ice Hockey Championship in which Miroslav Přerost coached the men's national junior ice hockey team hosted?,"Ufa, Russia"
76,"Between two bands Audioslave and Bodyjar, which group formed earlier?",Bodyjar
77,What music school did the singer of The Search for Everything: Wave One attend?,Berklee College of Music
78,"Gérald Genta, a Swiss jewelllery designer, worked with what luxury Swiss watch manufacturer which was founded by American Watch,aker Florentine Ariosts Jones?",International Watch Co.
79,What city did the musician whose debut album shares its title with the 1959 Alfred Hitchcock hail from?,"Chicago, IL"
80,The 53rd National Hockey League All-Star Game took place at the indoor arena that was completed in what year?,1998
81,Which of Damon Stoudamire's cousins once played college basketball for the University of Kentucky?,Terrence Jones
82,The player who defeated Johnny Majors for the Heisman Trophy in 1956 was born in what year?,1935
83,In which election did Norm Coleman won to become the last republican elected as of 2017?,2002
84,"Who is the mother of Mary, Crown Princess of Denmark's husband?",Queen Margrethe II
85,What park replaced American's first waterpark designed by the creator of seaworld?,Krakatau
86,What year did Fifty Shades of Grey release?,2011
87,The ghetto that George Kadish documented held how many people at its peak?,"29,000"
88,In which poetic form is Mad Girl's Love Song written and appears in the novel The Bell Jar by Sylvia Plath?,the villanelle poetic form
89,Which production company was involved with both of the movies A Kid in King Arthur's Court and The Great Locomotive Chase?,Walt Disney Productions
90,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force
91,Kadeem Jack is a player in a league that started with how many teams?,eight
92,What country is the member of Gujarat Legislative Assembly and parliament representing?,Jamnagar
93,"Of four Harry S. Truman Supreme Court candidates, who was the 53rd United States Secretary of the Treasury and the 13th Chief Justice of the United States?",Fred M. Vinson
94,In what month was the relief first officer of the flight that crashed on its way to Cairo with a stop in New York Born?,February
95,Are The Datsuns and The Black Crowes both rock bands?,yes
96, Legends of the Fall was based on a novella by what poetry and fiction writer?,James Harrison
97,Rimo I and Passu Sar are both part of which mountain range?,Karakoram mountain range
98,"What was the country which has border with the village where an Austrian forest caretaker, naturalist, pseudoscientistref>Ronald Engert: ""Die Forellenturbine als Prinzip der kostenlosen Energiegewinnung born?",Czech Republic
99,Which team did Joe Buck's father broadcast for?,St. Louis Cardinals
100,What is the name of the city located near the historical region known as Margianḗ in Greek?,Mary
101,The eastern coast of Ivan Zammit's birth city is located along what body of water? ,Grand Harbour
102,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan
103,Lex Antonia nullified the dictatorial laws set up by which Roman general?,Sulla
104,What player was the first overall pick in the 2004 NFL draft and had the Manning Field named after him?,Eli Manning
105,What did  the man who  led Sweden to military supremacy during the Thirty Years' War found in 1623?,court in Åbo
106, Cliburn railway station was a station situated on This railway that  ran between Clifton Junction near Penrith and Kirkby Stephen via what?,Appleby-in-Westmorland
107,Pajottenland has historically provided beers that include are fermented through yeasts native to what valley?,Zenne
108,APB and Sleeper are both from britain?,yes
109,Which  princess of French origin did Conrad IV of Germany married to ,Isabella II
110,"Mr. Wilson's Cabinet of Wonder: Pronged Ants, Horned Humans, Mice on Toast, and Other Marvels of Jurassic Technology is a book about a museum that is located in which city ?",Los Angeles
111,"Which American singer and songwriter has a mezzo-soprano vocal range, Tim Armstrong or Tori Amos?",Tori Amos
112,"When was the actor in the CW show developed by Greg Berlanti who also appears in ""Gods and Generals"" born?",1970
113,Where was the set for the winner of the WD Weatherford Award in 1998?  ,Coalwood
114,Who beacme a star as a comic book character created by Gerry Conway and Bob Oksner?,Megalyn Echikunwoke
115,The creek of which Paradise Creek is a tributary is a tributary of what river?,Delaware River
116,Did the Beaulieu Mine or the McIntyre Mines yield gold and copper?,The McIntyre also yielded a considerable amount of copper
117,"Which dog breed has more derivative breeds from the original, German Spitz or Norfolk Spaniel?",German Spitz
118,"Which album was released first, ""Talk That Talk"" or ""Loud""?",Loud
119,"What was the name of the storm that was the fifth hurricane of the season where Miami, Florida became the new National Hurricane Center?",Hurricane Faith
120," Hans Florian Zimmer composed The original music score for  Pacific Heights, since the 19080's how many films has he composed music for?",over 150 films
121,"Who is older, Tarryl Lynn Clark or Michele Marie Bachmann?",Michele Marie Bachmann
122,What Harry Potter actor strred in My Boy Jack?,Daniel Radcliffe
123,When was the king that started coin production in Copenhagen born?,2 February 1455
124,Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,"Reginald Martinez ""Reggie"" Jackson"
125,Additi Gupta is known for negative roles in the drama series that broadcasts on what country's Star Plus network?,Indian
126,Bartlett's Bridge was built by the engineer who worked for the county seat of which Massachusetts county?,Worcester County
127,What term is the current chairman of Prince William County serving?,fourth term
128,The Twelfth United States Army Group commander was the first chairman of what?,Joint Chiefs of Staff
129,Are William James and Bret Easton Ellis both screenwriters?,no
130,One of Central Dublin's most historic working-class neighbourhoods is the home to a football club who were the first ever winners of what cup?,FAI Junior Cup
131,What where Mark Chamberlain and Alex Oxlade-Chamberlain being?,an English professional footballer
132,Dianne Hiles is the current Australian Greens candidate for which 1968 federal proclamation? ,Division of Sydney
133,"Which character did this Australian-American actress who appeared in the movie ""Felony"" play in the Australian soap opera ""Home and Away?""",Angel Parrish
134,"Which city in Missouri is the Route 66 State Park closest to travel from, St.Louis or Eureka?",Eureka
135,What was the nickname of the 76er who was drafted 3rd in the 2014 draft? ,The Process
136,"Red Bend Catholic College contributes 800 students of the 7,560 population of what central west region of south Wales, Australia town?","Forbes in the Central West region of New South Wales, Australia"
137,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1959
138,Black Journal is based on the real life events of what serial killer that  murdered three women in Correggio?,Leonarda Cianciulli
139,Where did the descendants of the group of black Indians associated with the Seminole people settle?,"Coahuila, Mexico"
140,What state was the dissenter in Kessler v. Treat from?,Kentucky
141,In what town is the office organization solutions company whose Canadian arm is Oxford headquartered?,Melville
142,What was the name of the lawyer who took the main role in the report that helped land Pete Rose a lifetime suspension from baseball?,John M. Dowd
143,Which American anthology horror series created and produced by Ryan Murphy and Brad Falchuk did  Denis O'Hare filmography performance in the first season of ,American Horror Story
144,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes
145,"Which movie came out first, ""Bambi"" or ""Underdog""?",Bambi
146,Who was known for playing a fictionalized version of the wild politician who was the face of communist scare tact's in the early 1950's?,James Gregory
147,"In the The Simpsons episode ""Principal Charming, Homer invites a character over for dinner who is voiced by whom?",Harry Shearer
148,The comedy play written by Shakespeare titled Twelfth Night is also know by what name?,What You Will
149,"Which author found inspiration in their career prior to writing, Hart Crane or John le Carré?",John le Carré
150,In what year was the Commander of the second human spaceflight mission in the United States Apollo space program born?,1928
151,"Which of Mabel Keyes Babcock's distant relatives wrote ""Of Plymouth Plantation"" and served as Governor of the Plymouth Colony? ",William Bradford
152,Bride of the Regiment was later remade into a 1948 film starring the actress and pin-up girl who was the highest-salaried American woman in which two years?,1946 and 1947
153,"When was the multinational group headquartered in the Netherlands adjacent to the Junction 27 Retail Park near Birstall, Batley, West Yorkshite, England, founded?",1943
154,"Which film has more writers, Splash or Christopher Robin?",Christopher Robin
155,Who composed the theme music in 1989 of an animated television series which has the current arrangement by a person who  has scored or orchestrated music for more than 30 films and television shows?,Danny Elfman
156,"Ist das Ihr Fahrrad Mr O’Brien? is a German biographical radio play about life, works and legacy of an Irish novelist whose many satrical columns were written under what name?",Myles na gCopaleen
157,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector
158, Lou Cutell appeared on the third episode of the ninth season of an CBS sitcom that was what number episode overall?,187th
159,"Which breed, Chinese Chongqing Dog or Kanni, is used for hunting?",Kanni
160,What kind of material forms the wrapping for the chocolate candies that Hershey Kissables were shaped like?,aluminum foil
161,Who is the cofounder of Big Gates Records that collaborated with DJ Khaled on his second album “We the Best”?,Plies
162,"What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?",Edward Albert Heimberger
163,"The movie ""100 Million BC"" continues the urban myth of an experiment allegedly carried out at waht shipyard?",Philadelphia Naval Shipyard
164,What three other National forests are administered by the same people who administer the park in which the Art Loeb trail runs through?,"Croatan, Nantahala, and Uwharrie"
165,What machine has the same name as another machine created by Ludwig Boltzmann?,Boltzmann machine
166,What is it called when a piece of media is altered from its original state like when Bubba Sparxxx was featured in the song Oops?,Remix
167,Are Benjamin Britten and Béla Bartók from the same country?,no
168,"Who was the architect of a Dutch museum dedicated to the arts and history in Amsterdam, located at the Museum Square?",Petrus Josephus Hubertus (Pierre) Cuypers
169,Do Lush and P.O.D. both consist of four band members?,yes
170,"Which singer is younger, Shirley Manson or Jim Kerr?",Shirley Ann Manson
171,"Murray Seafield St George Head most recognised for which song from the concept album and subsequent musical ""Chess"" by Tim Rice, Benny Andersson and Björn Ulvaeus?",One Night in Bangkok
172,William Pery served as Captain of the Yeomen of the Guard under the lord who served in what position from 1865 to 1868?,Viscount Cranborne
173,"Whiich genus has more species, Dracula or Pistacia?",Dracula
174,What occupation do Anita Loos and Grace Metalious share? ,American author
175,"Who is affiliated with more countries as a director, Robert Florey and R. G. Springsteen?",Robert Florey
176,"Grammy winner for song of the year, also put out a 1971 album by the Carpenters, but what song did he win an Academy Award for Best Original Songs?",A Star Is Born
177," ""One Less Set of Footsteps"" is a song written and performed by a singer born in which year ?",1943
178,which sultan of the Ottoman Empire was  Gevherhan Sultan her granddaughter ,Suleiman I
179,What is the name of the hotel on the Upper West Side of New York City that housed a gay bathhouse?,The Ansonia Hotel
180,Which group of outlaws from the 1890s shares a name with a Yugoslav rock band?,Dalton Gang
181,What county is Keene High School located in?,Cheshire County
182,How many cards can a player choose from to be part of their hand in the card game that was the culmination game of the United States Poker Championship?,seven
183,"Which other film did one of the supporting cast in ""Sleepless in Seattle"" appear?","""Now and Then"" (1995)"
184,What type of diary did one of the founders of the John Bishop Memorial Hospital in Srinagar write?,a travel diary
185,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999
186,What key role did the stadium's snowplow operated play in the game following the Dolphins win against the Minnesota Vikings?,cleared a spot on the snowy field specifically for New England kicker John Smith
187,In which sport does both Virginia Ruzici and Andy Murray participate?,professional tennis player
188,"Which breed was bred first, the English Water Spaniel or the Estonian Hound?",The English Water Spaniel
189,What notable work from French music video director Yoann Lemoine features an apology and plea for forgiveness?,Back to December
190,Did Zaza Pachulia win an NBA Championship with the Atlanta Hawks?,Zaza Pachulia
191,The company that created the Data Universal Numbering System has a database that contains how many business records?,265 million
192,"What 1997 song was on the Garth Brooks album that debuted at #1 on the ""Billboard"" 200?",Two Piña Coladas
193,"What was the name of the band of Confederate army deserters in the 2016 movie starring Matthew McConaughey, Gugu Mbatha-Raw, and Keri Russell?",the Knight Company
194,Is the Marsilea or the Brabejum the genus of more individual species of plants?,Marsilea
195,"In which period was this German composer, pianist, organist and conductor born in 1847 active, whose work ""Wedding March"" became reference to any ""wedding march?""",early Romantic period
196,The king deposed in the Glorious Revolution of 1688 was supported by the grandson of what Viscount Barnewall?,Nicholas Barnewall
197,"Are Wilco Melissant and Todd Field both involved in the film industry (e.g. director, filmmaker, actor)?",yes
198,James Fowle Baldwin helped design a historic railroad that operated in Massachusetts and whose line later operated as part of what?,Boston and Maine Railroad's Southern Division
199,What Danish sports club based in Copenhagen  did striker Søren Lindsted start his career at?,Søren Lindsted
200,Are Mirpur University of Science and Technology and University of Debrecen both Universities located outside of the United States?,yes
201,What is special about the wristwatches that Favre-Leuba manufactures?,Swiss made
202,On what kind of field did the team led by head coach Joe Harasymiak play?,FieldTurf
203,What profession does H. L. Mencken and Albert Camus have in common?,journalist
204,What type of rock makes up the formation where Douglas Crabbe drove into a bar?,sandstone
205,What is the river that Sangin is found in the valley of the primary watershed for?,Sistan Basin
206,What family are the genus' Sinofranchetia and Stauntonia from?,a genus of flowering plant in the Lardizabalaceae family
207," ""Collateral Damage"" is an episode of the television series ""Millennium"" and features the host of a late night talk show that airs how often?",seven nights a week
208,What building in the capital of city of Brandenburg has a roof that is 1 m bigger than the roof of the Der Oderturm? ,Stern-Plaza
209,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Vaisakhi List
210,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroids
211,"What was the previous name of the hotel Bill Cosby recorded his comedy album, For Adults Only, in?",the Las Vegas Hilton
212,Cagliostro-Walzer op.370 was composed by a man born in what year?,1825
213,At which university did the notable psychoanalyst associated with the University of Chicago serve most of his career as a professor of psychiatry?,University of New York Upstate
214,"What is the main industry of this town with a population of around 2,600 as of 2010 that has Mountain Valley High School attendees as residents?",papermaking industry
215,"Who won the 2007 Copa America Final, with help from Julio Baptista?",Brazil
216,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",Texas Tech University
217,Which British Indian novelist and essayist did Anthony Burgess address in a lengthy letter?,Salman Rushdie
218,Are Daryl Hall and Gerry Marsden both musicians?,yes
219,What basketball player elected to the National Collegiate Basketball Hall of Fame released music through Rendezvous Music?,Wayman Tisdale
220,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",Dumb and Dumber
221,Are University of Virginia and Massachusetts Institute of Technology in the same country?,yes
222,In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Duval County
223,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,yes
224,Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire"
225,Which  Australian singer-songwriter wrote  Cold Hard Bitch,"Nicholas John ""Nic"" Cester"
226,"Did Qionghai or Suining  have a population of 658,798 in 2002? ","In 2002, Suining had a population of 658,798."
227,"What Province in Sicily, founded in the eighth century B.C., was the birthplace of the famous historical mathematician Archimedes?",Province of Syracuse
228,"What was the population during the 2000 census of the town in Sagadahoc County, Maine that had a population of 3,411 during the 2010 census?","1,864"
229,"How does this series represent a function, which is also used in the Homotopy analysis method?",infinite sum of terms
230,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, that was founded in 1899, and is under the auspices of what religion?",evangelical Christian
231,Who was the Goal keeper for Iraq in the 1996 AFC Asian Cup played in the United Arab Emirates?,Emad Hashim
232,The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?,extensive use of segues
233,"What was the real name of the author of the book ""Coraline"" has been compared to?",Charles Lutwidge Dodgson
234,Who resides in the palace that was the inspiration for the Kensington System's name?,British Royal Family
235,"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",The Panther
236,Siegfriedstellung in the First World War was a defensive position of what country's army?,German
237,Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Wolverhampton Wanderers Football Club
238,How many times has the national team Joseph Raich Garriga played for in 1941 participated in FIFA World Cups?,14
239,Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,stoneware
240,Davey Brozowski is a percussionist for a band that formed in what city in Washington?,Issaquah
241,In which town was the amusement park that is operated by Britannia Jinky Jersey Ltd located where the first  Tomorrow's Parties Festival was held?.,Camber Sands
242,How many episodes were there of the TV series where Julianna Margulies had the role of Carol Hathaway ?,331 episodes
243,"In the Cherokee Rose episode of ""The Walking Dead,"" the character that continues to search for Sophia Peletier is portrayed by an actor who is also famous for his work in what company's advertisements?",Prada
244,What street was the adult entertainment district of the Liberty Tree District centered on?,Washington Street
245,Kevin Rowland and Lauri Ylönen both share what occupation?,singer-songwriter
246,"What was the name of the publisher who published ""Finnegans Wake"" in 1939 by James Joyce",Teriade
247,In which city are the headquarters of the American research and scientific development company where Ravi Sethi worked as computer scientist located?,Murray Hill
248,Which company used a voice actor who also voiced He-Man?,9Lives
249,The Death Camp of Tolerance is an episode from an animated television series that was created by which two people?,Trey Parker and Matt Stone
250,What product by FLEXcon represents data by geometric patterns?,Barcodes
251,"Although Michael Fincke's record was broken by Scott Kelly, commander of the International Space Station (ISS) on Expeditions 26, 45, and 46, what was his record for the most time in space?",381.6 days
252,Does the genus Cunninghamia or Chilopsis contain only one species?,Chilopsis
253,What type of veterinary specialist is the star veterinarian of The Bionic Vet?,neuro-orthopaedic
254,What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,yen
255,"In which genus number of species are more, Lavatera or Oplismenus?",Oplismenus
256,Who was the pivotal in the formation of schools catering for the primary and early secondary education of children in remote and outback Australia?,Adelaide Laetitia
257,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory
258,"What american singer,had Warren Fu as one of their video directors, and also had to face allegation of illegal marriage with R. Kelly?",Aaliyah
259,Harry Emerson Fosdick was called to serve as pastor at a church that opened its doors on what date?,"October 5, 1930"
260,"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?",Radcliffe College
261,Which CEO of FedEx becked  Value America ,"Frederick Wallace ""Fred"" Smith"
262,Which American pro basketball player who won gold at the 2008 Summer Olympics was signed by the Utah Jazz during the 2005-05 offseason?,Carlos Austin Boozer Jr.
263,Mazda's Mazda6 belongs to which country's car manufacturer?,Japanese
264,"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",C. W. Grafton
265,"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?",Rwandan genocide
266,"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",2009
267,What Congressional District did John Shimkus represent before the 20th Congressional District of Illinois?,Illinois 's 15 congressional district
268,WHat dish is  Dacryopinax spathularia included in that is also sometimes called Luóhàn cài?,Buddha's delight
269,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof
270,What is the name of the record label owned by one of the three artists responsible for creating the 1993 album Honky Tonk Angels?,Dolly Records
271,"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn
272,"In 2008, who were the two actors stared along with a South Korean actor, singer, and model who won best actor in five prestigious award ceremonies.",Best Actor prize
273,"Which was founded first, Dain Rauscher Wessels or Berenberg Bank?",Dain Rauscher Wessels
274,Are Castor et Pollux and Manon Lescaut composed by the same people?,no
275,Orchard Gateway connects what shopping mall in singapore with 313 @ Somerset?,Orchard Central
276,Which is the younger brother in the composer duo that composed Aati Kya Khandala?,Lalit
277,Shannon Purser played the role of June Acosta in a 2017 horror film directed by who?,John R. Leonetti
278,How many Studio albums did the group that released the debut album The Cactus Al/Bum release in their initial career?,two studio albums
279,"What was the nickname of Anthony Corallo, boss to ""Sal"" Avellino and head of the Lucchese mob family mob in New York?",Tony Ducks
280,Is Chicago Rockford International Airport or McClellan–Palomar Airport closer to their nearest cities?,McClellan–Palomar Airport
281,"Between The Goldeneye and Monkey Gland, which cocktail requires more ingredients?",Monkey Gland
282,Mexican Indignados Movement is a response to a war also known as?,Mexican War on Drugs
283,Are either Edward H. Griffith or Edward Burns from Germany?,no
284,What year did the shopping centre on the street numbered B411 open in the space of in the retail space of the former William Whiteley Limited department store?,1989
285,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André
286,What is Peter Daou's website's slogan?,"""media for the 65.8 million,"""
287,"Human Shadow Etched in Stone is an exhibition to showcase which bombing that killed 129,000 people in 1945?",Hiroshima and Nagasaki
288,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall
289,Which them park is host to both the Back to the Future Rid and The Simpsons Ride?,Universal Studios Florida
290,What was the benefit of reintroducing piston power and replacing the most popular turboprop engine in history?,much better fuel economy
291,The languages Hussein Ali Mahfouz studied are spoken by how many people?,more than 330 million people
292,"when the Marlins are the home team, games are played at this park which was LEED certified as the greenest MLB park in what year?",2012
293,Who is the Mexican actor that starred in Sex and Breakfast?,Eduardo Kuno Becker Paz
294,Australian Associated Press was established by a journalist born in which year ?,1885
295,Which season did Brain Billick coach the Baltimore Ravens though in 2001?,6th season
296,Henry W. Bloch School of Management is named after the founder of an American tax preparation company that is based where?,Kansas City
297,Hate Them is the ninth album by a band likened to who?,Motörhead
298,What was the population in 2016 of the city that Norman Foote is originally from?,"631,486"
299,Which actor in the film Equus is also in the film The Informers?,Colin Blakely
300,Firstar Center was the name for two buildings before the company changed its name to match which company based in Minneapolis?,U.S. Bancorp
301,Which services did Rock Nominees Ltd and  ISS A/S (Integrated Service Solutions) have in common?,"cleaning, catering and security"
302,The most principle species of plants which requires an ericaceous type of compost can have what effect on its surroundings because of the way it takes up cations?,Peat moss can also acidify its surroundings by taking up cations
303,"The man, who the award in which ""Summer of the Monkeys"" won, was a spokesman for white sector of America?",middle America
304,Who is younger Jenny Bae or Lionel Richie ?,Jenny Bae
305,"The album ""The Best of LeAnn Rimes"" contained a song used as the theme song for a film. What is the name of the film?",Coyote Ugly
