id,answer,question,question_type
44,Google,"Which company, recently reported by both TechCrunch and The Verge, is at the center of legal disputes involving claims of anticompetitive behavior in app distribution, search engine monopolization, and the alleged harm to news publishers' revenues?",inference_query
45,No,"Is the involvement of Sony Music artists in YouTube's 'Dream Track' project consistent according to reports from Music Business Worldwide between November 23, 2023, and November 30, 2023, considering the participation of Universal Music Group and Warner Music Group artists?",temporal_query
46,Inconsistent,"Between the report from 'The Guardian' on October 28 regarding 'Game 3 of the World Series' and the coverage by 'Sporting News' on October 30, was the information about 'Brandon Pfaadt' starting the game consistent or inconsistent?",temporal_query
47,Yes,"Between the TechCrunch report on the SBF trial published on October 6, 2023, and the TechCrunch report on Sam Bankman-Fried's prosecution allegations published on October 7, 2023, was there consistency in the portrayal of Sam Bankman-Fried's actions related to the FTX collapse?",temporal_query
48,no,"Did The Guardian's report on October 24, 2023, regarding Britney Spears' experiences at the age of 21 maintain consistency in the narrative of her struggles with autonomy and public scrutiny, after The Independent - Life and Style reported on Britney Spears' voluntary lithium intake on October 18, 2023?",temporal_query
49,Google,"What company, featured in articles from both The Verge and TechCrunch, is responsible for ranking local search results, recently showcased new hardware developments at an annual event, and has been accused in a class action antitrust suit of harming news publishers' bottom lines?",inference_query
50,Taylor Swift,"Which pop star, recognized by Time as Person of the Year, was seen supporting a football team at Arrowhead Stadium where she was personally invited by a player who also made her a friendship bracelet with his number on it, as reported by 'The Age', 'The Independent - Life and Style', and 'CBSSports.com'?",inference_query
51,no,"Has the focus of the 'Sporting News' on the interests of 'Bettors' in prop betting opportunities changed between the report on FanDuel 'Prop Stars' picks for Chiefs-Jets Week 4 published on September 28, 2023, and the report on the best golf betting sites and apps published on October 13, 2023?",temporal_query
52,Sam Bankman-Fried,"Who is the individual that, despite not being portrayed as the white horse of crypto by TechCrunch, managed to recruit a former colleague from Jane Street to join him in ventures that faced legal scrutiny for alleged fraud, and who also admitted to being aware of financial discrepancies post the intervention of Judge Lewis Kaplan?",inference_query
53,no,"After TechCrunch reported on October 31, 2023, about Google's financial strategies to maintain its search engine dominance, and again on December 15, 2023, about a class action antitrust suit filed against Google, was there inconsistency in the portrayal of Google's competitive practices according to TechCrunch?",temporal_query
54,Sam Bankman-Fried,"Who is the individual, covered by both Fortune and TechCrunch, that is not only on trial to determine his involvement in fraud and conspiracy but also convinced a colleague from Jane Street to join him in his ventures, and is now being portrayed with conflicting narratives by legal representatives and the government in court?",inference_query
55,Yes,"Does 'The Sydney Morning Herald' suggest that the Federal Reserve's future interest rate decisions will be based on incoming economic data, while another article from 'The Sydney Morning Herald' indicates that there is hope the Federal Reserve may soon stop raising interest rates and possibly start reducing them?",comparison_query
56,Google,"What company is at the center of antitrust discussions due to its default search engine deals with various tech companies, impact on the internet's appearance, potential legal outcomes regarding phones and app stores, and allegations of harming news publishers' revenue as reported by The Verge and TechCrunch?",inference_query
57,Yes,Does the TechCrunch article on the Google antitrust case report the same amount of money spent by Google in 2021 to maintain its default search engine status across various platforms as the amount cited in another TechCrunch article discussing payments for default search engine status?,comparison_query
58,Meta,"Which company, recently reported by TechCrunch, is not only facing scrutiny for potential non-compliance with GDPR due to its advertising subscription model but is also attempting to shift the oversight of teen social media usage to third parties, and has been accused of having a moderation bias that particularly affects Palestinian users?",inference_query
59,Yes,"Has the approach to presenting prop bets to bettors by Sporting News remained consistent between the report on NBA prop bets published on October 2, 2023, and the report on NCAAF bowl season prop bets published later?",temporal_query
60,Sam Bankman-Fried,"Who is the individual that, before the collapse of a cryptocurrency platform as reported by The Verge, recruited a colleague from Jane Street to join him at a trading firm and later a crypto exchange as per Fortune, was informed about a significant financial discrepancy after a judge's intervention according to another article from The Verge, and is accused of intentionally committing fraud for personal gain as alleged by the prosecution in a report by TechCrunch?",inference_query
61,no,"Does the article from 'The Age' suggest that 'The individual's dating intentions' were not focused on starting a family, while 'The Independent - Life and Style' article's claim about 'Taylor Swift and Travis Kelce' centers on speculation about their dating status without indicating a similar intention?",comparison_query
62,Google,"Which company is at the center of antitrust legal challenges, as reported by TechCrunch and The Verge, where it is accused of both withholding information from court discovery and being portrayed as an antagonist by a game maker, as well as harming news publishers' revenue through anticompetitive practices?",inference_query
63,Apple,"Which company, known for its increased responsiveness to consumer feedback as reported by TechCrunch, is also involved in legal disputes as per The Verge, including an antitrust agreement that prevents switching to competitors during product setup and a patent issue with Masimo, while also enforcing uniform terms on developers, OEMs, and carriers through its store and payment system?",inference_query
64,Meta,"Considering the information provided by TechCrunch that Meta's advertising subscription model may conflict with GDPR regulations and the separate issue of Palestinian users experiencing frustration with Meta's moderation practices, what is the name of the company that is facing both legal scrutiny in Europe and allegations of biased moderation?",inference_query
65,Google,"Which company, reported by TechCrunch, is involved in an antitrust battle where it provided court evidence against claims of hiding discovery items, spent billions to maintain its default search engine status, and is accused of harming news publishers’ revenue through anticompetitive practices?",inference_query
66,no,"Does the article from Sporting News claim that John ""The Best"" Mugabi had a flawed boxing record, while the article from Essentially Sports reports Dillon Danis as having his first-ever boxing debut, indicating a difference in their professional boxing experience?",comparison_query
67,Sam Bankman-Fried,"Who is the individual facing a criminal trial on fraud charges, previously likened to a prominent investor, and is accused of misusing customer funds from a cryptocurrency exchange, as reported by TechCrunch and The Verge?",inference_query
68,no,"Was there inconsistency in the promotional offers reported by Sporting News on September 26, 2023, regarding the Caesars Sportsbook promo for new sign-ups in Vermont, and by CBSSports.com on October 13, 2023, about the Caesars Sportsbook offer for new customers?",temporal_query
69,Google,"Which company is at the center of allegations involving manipulation of search results to maximize ad revenue, according to 'The Age', making default search engine deals as mentioned by 'The Verge', and is also accused by news publishers in a class action antitrust suit reported by 'TechCrunch' for harming their business through anticompetitive practices?",inference_query
70,no,"Does the 'Sporting News' article claim that Newcastle United was defeated by Manchester United in the Carabao Cup, aligning with 'The Guardian' article's claim that Newcastle will face Chelsea in the quarter-finals, indicating both sources confirm Newcastle's progression in the tournament?",comparison_query
71,Consistent,"Between the report from 'Sky Sports' published at '2023-10-20T21:30:00+00:00' stating that ""Mikel Arteta was on loan at Paris Saint-Germain from Barcelona's B side in 2001,"" and the article from 'The Guardian' published at '2023-10-20T21:30:28+00:00' mentioning ""Mauricio Pochettino and Mikel Arteta joined Paris Saint-Germain at the same time in early 2001,"" is the information provided about the time when Mauricio Pochettino and Mikel Arteta were involved with Paris Saint-Germain consistent or inconsistent?",temporal_query
72,no,"Does the article from Fortune suggest that Generation Z experiences distress primarily due to high employment rates, while the article from Eos: Earth And Space Science News calls for a deeper understanding of sea surface temperature patterns as a significant climate driver?",comparison_query
73,no,Has the focus of Taylor Swift coverage by 'The Independent - Life and Style' and 'FOX News - Lifestyle' remained solely on the National Football League's (NFL) perspective without shifting to personal fan experiences involving individuals like Annika?,temporal_query
74,no,"Did the 'Sporting News' article claim that FC Cincinnati lost the Supporters' Shield, while the 'The Roar | Sports Writers Blog' article report a victory for Aston Villa over Fulham, and are these outcomes related to different competitions?",comparison_query
75,Yes,"Does the FOX News - Health article attribute the positive impact on well-being and hope to the Caring Contacts program, while the FOX News - Lifestyle article suggests that Marketing practices overshadow the message of hope?",comparison_query
76,Yes,"Does the article from The Age suggest that Australia's Davis Cup team is aiming for an improvement in their performance compared to the previous year, similar to how the article from The Guardian describes the Sydney Swans' current season performance as improved from their previous winless campaign?",comparison_query
77,Brock Purdy,"Which NFL quarterback, featured in articles from Sporting News, Sportskeeda, and CBSSports.com, threw four touchdowns against the Cowboys, has accumulated significant fantasy points over recent games, boasts an undefeated start to the season, but struggles with a decreased completion rate and yards per attempt when under pressure?",inference_query
78,no,"Was there inconsistency in the portrayal of Sam Bankman-Fried's actions related to the FTX collapse after the TechCrunch report published on October 6, 2023, or the subsequent TechCrunch report on Sam Bankman-Fried published on October 7, 2023?",temporal_query
79,Agree,"Do the articles from Fortune and TechCrunch agree on the nature of the charges against Sam Bankman-Fried, with both mentioning fraud and conspiracy, or do they present different charges?",comparison_query
80,Yes,"Is the reporting on the Northern Lights visibility in the UK by 'The Independent - Travel' consistent with the observations of the aurora borealis reported by 'Live Science: The Most Interesting Articles' between November 9, 2023, and December 21, 2023?",temporal_query
81,Yes,"After the TechCrunch report on Sam Altman's situation at OpenAI published on November 18, 2023, and the subsequent Fortune report on the same day regarding the board's actions, was there agreement between the two news sources on the portrayal of Sam Altman's standing in Silicon Valley?",temporal_query
82,Google,"Which company, recently featured in both TechCrunch articles for unveiling new hardware at an annual event and for being accused of harming news publishers' bottom lines through anticompetitive practices, is also mentioned in The Verge as potentially winning a court case if all phones and app stores are considered part of the relevant market?",inference_query
83,Sam Bankman-Fried,"Which individual, once likened to a prominent investor and considered a savior in the cryptocurrency realm according to a report by TechCrunch, is facing trial and has been accused by the prosecution of using customer funds for a significant buyout and committing fraud for personal gain, despite having expressed to Paradigm the intention to establish a board with specialists for a company that he did not want investors to direct?",inference_query
84,Yes,"After the TechCrunch report on November 18, 2023, suggesting that Sam Altman was not being fully truthful with the board, and the subsequent Fortune article on the same day accusing the board of going rogue in firing Altman, did the TechCrunch report published later on November 18, 2023, maintain consistency in the narrative regarding Sam Altman's future plans?",temporal_query
85,Yes,"Does the 'Business World' article claim that the same individuals will serve on the Board of Trustees for the Philippine Education Development Fund (PhilEd) as the current Board of Trustees of the Fund, in contrast to the 'Music Business Worldwide' article where Andrew Wilkinson is reported to be retiring from the Hipgnosis Songs Fund board?",comparison_query
86,Yes,"Does the TechCrunch article claim that Google's anticompetitive behavior affects the app distribution and payment processing markets, while The Age article focuses on the manipulation of Search for ad revenue, and another TechCrunch article alleges harm to news publishers' content, readers, and ad revenue, indicating different sectors impacted by Google's practices?",comparison_query
87,no,"Was there inconsistency in the portrayal of Sam Bankman-Fried's actions related to the FTX collapse between the TechCrunch report published on October 6, 2023, and the TechCrunch report on Sam Bankman-Fried published on October 7, 2023?",temporal_query
88,Yes,"Does the 'Music Business Worldwide' article suggest that ""YouTube's Content ID system"" ensures payment to copyright owners for uploaded content, while the 'TechCrunch' article implies that 'Online creators' often do not make money on platforms like YouTube?",comparison_query
89,no,"Did TechCrunch fail to maintain consistency in its reporting on December 15, 2023, when discussing a class action antitrust suit against Google by a news publisher?",temporal_query
90,Sam Bankman-Fried,"Who is the individual under 30 who became the richest in the world, reportedly with the intention of using their wealth for the preservation of humanity, but is now facing allegations of fraud and deceit regarding the operations of a crypto exchange, as reported by Fortune, The Verge, and TechCrunch?",inference_query
91,no,"Does the article from Fortune discussing Ruby Franke's daughter describe the justification for abuse as a form of necessary discipline, in contrast to the article from The Verge which exonerates Catherine Tan of any accusations of sexual harassment and coercion?",comparison_query
92,Sam Bankman-Fried,"Who is the individual associated with FTX whose alleged fraudulent actions to attain wealth and power are discussed in articles from Fortune, The Verge, and TechCrunch, and is also mentioned as having informed a trader about permissible withdrawals based on the company's trading revenue?",inference_query
93,no,"Does the article from The Verge suggest that a GameStop gift card is a universally useless gift for gamers regardless of console preference, while the Polygon article recommends specific Nintendo Switch games, indicating a more targeted gift approach for owners of that console?",comparison_query
94,ChatGPT,"What is the name of the AI developed by OpenAI that Engadget reported as having a significant rise in usage during December 2022 and that TechCrunch identified as having the ability to perform a diverse range of tasks including coding, composing music, and writing poetry?",inference_query
95,Google,"Which company, reported by The Verge and TechCrunch, is at the center of discussions involving its default search engine deals, lack of planned measures for YouTube, and anticompetitive practices affecting news publishers' revenues?",inference_query
96,no,"Did The Verge's report on October 12, 2023, regarding Caroline Ellison's confession contradict the previous portrayal of her actions as discussed in the report from Fortune on October 4, 2023, which discussed Mark Cohen's claims about Caroline Ellison's management of her hedge fund?",temporal_query
97,Sportsbooks,"What are the entities that, according to Sporting News, not only offer welcome bonuses with specific requirements but also modify their betting lines in response to events like injuries or roster changes, and tighten NBA Rookie of the Year odds, all while adjusting odds to manage their liability when heavy betting occurs on a particular team or individual?",inference_query
98,Google,"Which company, as reported by TechCrunch, is facing scrutiny for its market practices in areas ranging from app distribution and advertising to search engine defaults and content sharing, without planning new measures for its video platform in the next six months?",inference_query
99,Taylor Swift,"Which pop star, recently named Time's Person of the Year by 'The Independent - Life and Style', has been the subject of rumors involving a friendship bracelet from a Chiefs TE, as reported by both 'The Age' and 'CBSSports.com', and has openly discussed her approach to dealing with paparazzi attention?",inference_query
100,no,"Did TechCrunch's subsequent report on a class action antitrust suit against Google on December 1, 2023, indicate a consistent portrayal of Google's business practices by the news source?",temporal_query
101,Yes,"Between the TechCrunch report on Sam Bankman-Fried's trial and the subsequent TechCrunch report on the allegations against him, was there a change in the portrayal of his actions related to the FTX situation?",temporal_query
102,Sam Bankman-Fried,"Who is the individual under 30, previously reported by TechCrunch as the richest person with an intention to use wealth to prevent humanity's extinction, that is also alleged by the prosecution to have committed fraud for wealth and influence, and was mentioned in The Verge for advising a trader on withdrawal limits from a platform's revenue?",inference_query
103,Google,"Which company, reported by TechCrunch, has both invested $26.3 billion to maintain its default search engine status across devices and platforms in 2021, and has been accused in a class action lawsuit of harming news publishers' revenues and readership through anticompetitive practices?",inference_query
104,Yes,"Between the report from The Verge on November 7, 2023, portraying Google as the antagonist in the Epic v. Google trial, and the TechCrunch article on December 15, 2023, citing a class action antitrust suit against Google for harming news publishers' bottom lines, has the portrayal of Google's business practices by these news sources remained consistent?",temporal_query
105,Sam Altman,"Who is the individual that has been described by TechCrunch as both backing a teen's AI startup and being ousted as CEO, by Fortune as a prominent voice in Silicon Valley on artificial intelligence, and is also suggested by TechCrunch to have had issues with truthfulness with the board?",inference_query
106,Yes,"Did the 'Sport Grill' article attribute the winning penalty to Tessa Wullaert, while 'The Roar | Sports Writers Blog' attribute a stoppage-time penalty to Cole Palmer, and do these claims concern penalties scored at different times in their respective matches?",comparison_query
107,Brock Purdy,"Who is the San Francisco 49ers player that has recently been a valuable fantasy football pick according to Sporting News, demonstrated a strong performance against the Cowboys with four touchdowns, yet has shown vulnerability under pressure as reported by CBSSports.com?",inference_query
108,no,Did the TechCrunch report on Sam Bankman-Fried after the start of his trial and the subsequent TechCrunch report mentioning the prosecution's allegations against Sam Bankman-Fried portray his actions inconsistently?,temporal_query
109,Australia's cricket team,"What team, which has players like Steve Smith and Aaron Finch contributing to a score of 328 for 7 wickets in a 2015 World Cup semi-final and also won a match against India by just one run, recently experienced their first four-day game loss since January 2014 during a tour of India, as reported by 'The Roar | Sports Writers Blog' and 'Zee Business'?",inference_query
110,Yes,"After TechCrunch reported on September 28, 2023, that OpenAI would make GPT-4 with vision available alongside the launch of GPT-4 Turbo API, did the same news source maintain consistency in its view of OpenAI's strategy when reporting on December 19, 2023, about OpenAI pushing an ""app store for AI"" as the primary platform for obtaining AI tools and toys?",temporal_query
111,Federal Reserve,"What institution, recently mentioned in articles from both 'Fortune' and 'The Sydney Morning Herald,' has been both forced to aggressively hike interest rates in response to inflation and booming home prices, and whose future decisions on whether to continue this trend or halt it are anticipated by investors based on incoming economic data?",inference_query
112,Sam Bankman-Fried,"Who, according to articles from both Fortune and TechCrunch, built the success of a crypto exchange on lies, allegedly used a colleague as a front for improper financial access, aimed to use his wealth to save humanity, and is accused by the prosecution of committing fraud for personal gain?",inference_query
113,Sam Altman,"Who is the Silicon Valley figure associated with the rise of artificial intelligence and generative AI technology, who was recently in the news for being removed from OpenAI's leadership amidst allegations of dishonesty with the board, as reported by both Fortune and TechCrunch?",inference_query
114,no,Do both articles from Sporting News agree that Sportsbooks never adjust the NBA Rookie of the Year betting lines or any other sports betting lines in response to gathered information or legitimate events like injuries or roster changes?,comparison_query
115,Google,"Which company, recently reported by both TechCrunch and The Verge, is implicated in altering the internet's appearance, not fully releasing its AI model, and facing a class action antitrust suit for harming news publishers' revenue?",inference_query
116,Britney Spears,"Which pop star, who became a public figure unable to avoid attention at the age of 16 according to 'The Guardian', has been commended by Kevin Federline for responsibly handling her situation as reported by 'The Independent - Life and Style', and also claimed to have been forced to take lithium against her will as per another article from 'The Independent - Life and Style'?",inference_query
117,no,"Did the article from Fortune reporting on the lawsuit's impact on Rogers Communications Inc. indicate an increase in the company's stock price, and did the article from The Sydney Morning Herald discussing the antitrust lawsuit against Amazon indicate a decrease in Amazon's stock price?",comparison_query
118,Sam Bankman-Fried,"Which individual, discussed across articles from Fortune, The Verge, and TechCrunch, is at the center of a legal case where the jury must assess contrasting narratives of his actions, including allegations of using a front for secret access to customer funds and committing fraud for personal gain, while also claiming to have been overwhelmed by the growth of his business ventures?",inference_query
119,no,"Did the Sporting News change their fantasy football advice after publishing the quarterback rankings at 22:06 on December 7, 2023, which suggested Matthew Stafford, Geno Smith, and Josh Dobbs are risky options, when they later advised against starting Tyler Higbee at 22:14 on the same day due to the strength of the Baltimore Ravens' tight end defense?",temporal_query
120,no,"Does the 'Fortune' article claim that Sam Bankman-Fried used Caroline Ellison as a front for properly managing customer funds at Alameda Research align with the 'TechCrunch' article's allegation that he committed fraud for personal gain, and do both of these claims contrast with 'The Verge' article's portrayal of Sam Bankman-Fried as a trustworthy figure in the cryptocurrency industry?",comparison_query
121,Yes,"Does the Fortune article suggest that Sam Bankman-Fried was responsible for the alleged deceit behind FTX's success, while the TechCrunch article focuses on Gary Wang and Caroline Ellison's admission of guilt to federal criminal charges in relation to the FTX collapse?",comparison_query
122,TRUE,"Does the Sporting News article suggest that Josh Dobbs is producing similar offensive results for the Minnesota Vikings as Kirk Cousins did, while the CBSSports.com article indicates a change in the Minnesota Vikings' offensive strategy in terms of passing play percentage during Week 4?",comparison_query
123,no,"Does the Yardbarker article describe Alex Verdugo's offensive performance as below league-average based on his batting statistics, while the Sporting News article reports on the success of Javonte Williams and Russell Wilson in a single NFL game, without making a season-wide assessment?",comparison_query
124,Apple,"Which company, covered by both The Verge and Engadget, is known for its privacy stance in a legal context, plans to focus on Macs and new chipsets at an upcoming event, and enforces uniform terms through its store and payment system?",inference_query
125,no,"Does the article from Fortune claim that Sam Bankman-Fried's lack of persuasive abilities led to Adam Yedidia joining Alameda and FTX, while the TechCrunch articles focus on different aspects of Sam Bankman-Fried's reputation and alleged actions, without mentioning his persuasive influence on specific individuals?",comparison_query
126,no,Does the article from The Guardian suggest that Britney Spears had more control over her privacy at the age of 16 compared to the control over privacy that the BBC News - Entertainment & Arts article implies Taylor Swift has over her personal experiences?,comparison_query
127,no,"Between the report from The Verge on Apple's defense of its Google Search deal published on September 26, 2023, and the TechCrunch article detailing the Google antitrust case published on October 31, 2023, was there disagreement on the financial impact of Google's deals to maintain its default search engine status on various platforms?",temporal_query
